dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1751-05-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1751-06-01,10.755,1.536,Aberdeen,United Kingdom,57.05N,1.48W
1751-07-01,12.839,1.213,Aberdeen,United Kingdom,57.05N,1.48W
1751-08-01,13.414,1.155,Aberdeen,United Kingdom,57.05N,1.48W
1751-09-01,10.783,1.105,Aberdeen,United Kingdom,57.05N,1.48W
1751-10-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1751-11-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1751-12-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1752-01-01,4.318,2.577,Aberdeen,United Kingdom,57.05N,1.48W
1752-02-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1752-03-01,5.754,1.886,Aberdeen,United Kingdom,57.05N,1.48W
1752-04-01,5.303,2.06,Aberdeen,United Kingdom,57.05N,1.48W
1752-05-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1752-06-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1752-07-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1752-08-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1752-09-01,,,Aberdeen,United Kingdom,57.05N,1.48W
1752-10-01,9.498,1.741,Aberdeen,United Kingdom,57.05N,1.48W
1752-11-01,8.799,1.331,Aberdeen,United Kingdom,57.05N,1.48W
1752-12-01,6.983,1.522,Aberdeen,United Kingdom,57.05N,1.48W
1753-01-01,3.363,7.22,Aberdeen,United Kingdom,57.05N,1.48W
1753-02-01,4.179,3.303,Aberdeen,United Kingdom,57.05N,1.48W
1753-03-01,6.689,3.496,Aberdeen,United Kingdom,57.05N,1.48W
1753-04-01,6.116,6.298,Aberdeen,United Kingdom,57.05N,1.48W
1753-05-01,8.256,2.142,Aberdeen,United Kingdom,57.05N,1.48W
1753-06-01,11.547,3.59,Aberdeen,United Kingdom,57.05N,1.48W
1753-07-01,12.923,2.462,Aberdeen,United Kingdom,57.05N,1.48W
1753-08-01,12.895,7.622,Aberdeen,United Kingdom,57.05N,1.48W
1753-09-01,12.015,1.573,Aberdeen,United Kingdom,57.05N,1.48W
1753-10-01,10.295,2.151,Aberdeen,United Kingdom,57.05N,1.48W
1753-11-01,6.414,3.241,Aberdeen,United Kingdom,57.05N,1.48W
1753-12-01,3.288,4.746,Aberdeen,United Kingdom,57.05N,1.48W
